UNSPSC,Title
10000000,Live Plant and Animal Material and Accessories and Supplies
10100000,Live animals
10101500,Livestock
10101501,Cats
10101502,Dogs
10101504,Mink
10101505,Rats
10101506,Horses
10101507,Sheep
10101508,Goats
10101509,Asses
10101510,Mice
10101511,Swine
10101512,Rabbits
10101513,Guinea pigs
10101514,Primates
10101515,Armadillos
10101516,Cattle
10101517,Camels
10101600,Birds and fowl
10101601,Live chickens
10101602,Live ducks
10101603,Live turkeys
10101604,Live geese
10101605,Live pheasants
10101700,Fish
10101701,Live salmon
10101702,Live trout
10101703,Live talapia
10101800,Shellfish and aquatic invertebrates
10101801,Live shrimp
10101802,Live clams
10101803,Live mussels
10101804,Live oysters
10101805,Live crabs
10101806,Live abalone
10101807,Live octopi
10101808,Live squid
10101900,Insects
10101901,Butterflies
10101902,Beetles
10101903,Bees
10101904,Silkworms
10102000,Wild animals
10102001,Elephants
10110000,Domestic pet products
10111300,Domestic pet treatments and accessories and equipment
10111301,Pet toys
10111302,Pet grooming products
10111303,Pet litter or equipment for pet waste management
10111304,Pet food bowls or equipment
10111305,Medicated pet treatments
10120000,Animal feed
10121500,Livestock feed
10121501,Pure wheat bran
10121502,Feed oats
10121503,Feed corn
10121504,Feed sorghum
10121505,Hay
10121506,Oil cake
10121600,Bird and fowl food
10121601,Live food for birds
10121602,Bird seed
10121603,Bird treats or snacks
10121604,Poultry food
10121700,Fish food
10121701,Fresh or frozen brine
10121702,Fish food pellets
10121703,Fish food flakes
10121800,Dog and cat food
10121801,Dry food for dogs
10121802,Moist food for dogs
10121803,Milk for dogs or cats
10121804,Dry food for cats
10121805,Moist food for cats
10121806,Treats or snacks for cats or dogs
10121900,Rodent food
10121901,Pelletized food for rodents
10122000,Reptile food
10122001,Pelletized food for reptiles
10122002,Moist food for reptiles
10122003,Live food for reptiles
10130000,Animal containment and habitats
10131500,Animal shelters
10131506,Livestock stables
10131507,Domesticized pet houses
10131508,Pet beds
10131600,Animal containment
10131601,Cages
10131602,Kennels
10131603,Animal carrying cases
10131604,Dog runs
10131700,Animal habitats
10131701,Terrariums
10131702,Aquariums
10140000,Saddlery and harness goods
10141500,Saddlery
10141501,Saddles
10141502,Whips
10141600,Harness goods
10141601,Bridles
10141602,Yokes
10141603,Horse bits
10141604,Reins
10141605,Stirrups
10141606,Leashes or leads
10141607,Collars
10141608,Harnesses
10141609,Restraints
10150000,Seeds and bulbs and seedlings and cuttings
10151500,Vegetable seeds and seedlings
10151501,Bean seeds or seedlings
10151502,Carrot seeds or seedlings
10151503,Celery seeds or seedlings
10151504,Chili seeds or seedlings
10151505,Courgette seeds or seedlings
10151506,Cow pea seeds or seedlings
10151507,Cucumber seeds or seedlings
10151508,Eggplant seeds or seedlings
10151509,Endive seeds or seedlings
10151510,Garlic seeds or seedlings
10151511,Leek seeds or seedlings
10151512,Lettuce seeds or seedlings
10151513,Corn seeds or seedlings
10151514,Melon seeds or seedlings
10151515,Onion seeds or seedlings
10151516,Soya seeds or seedlings
10151517,Spinach seeds or seedlings
10151518,Tomato seeds or seedlings
10151519,Turnip seeds or seedlings
10151520,Chard seeds or seedlings
10151521,Sweet pepper seeds or seedlings
10151600,Cereal seeds
10151601,Wheat seeds
10151602,Colza seeds
10151603,Barley seeds
10151604,Millet seeds
10151605,Oat seeds
10151606,Sesame seeds
10151607,Linseed seeds
10151608,Castor oil seeds
10151609,Maize seeds
10151610,Rye seeds
10151611,Sorghum seeds
10151700,Grass and forage seeds and seedlings
10151701,Rice seeds or seedlings
10151702,Clover seeds or seedling
10151703,Alfalfa seeds or seedlings
10151704,Grass seeds or seedlings
10151800,Spice crop seeds and seedlings
10151801,Pepper seeds or seedlings
10151802,Vanilla seeds or seedlings
10151803,Cinnamon seeds or seedlings
10151804,Clove seeds or seedlings
